file	n_ex	numbering	ital_names	bold_names	tags	nested_subitems	inline_letter_marks	cites	xrefs
chapter_reinforcement-learning/baselines.md	6	repeated-1	6	0	conceptual:2,short-code:4	0	0	1	5
chapter_reinforcement-learning/deep-rl.md	7	repeated-1	7	0	conceptual:2,short-code:5	0	1	2	13
chapter_reinforcement-learning/imitation.md	6	repeated-1	6	0	conceptual:2,extended:1,short-code:3	0	0	0	4
chapter_reinforcement-learning/mdp.md	6	repeated-1	6	0	conceptual:4,short-code:2	0	2	0	3
chapter_reinforcement-learning/policy-gradient.md	6	repeated-1	6	0	conceptual:3,short-code:3	0	1	0	13
chapter_reinforcement-learning/qlearning.md	7	repeated-1	7	0	conceptual:2,extended:1,short-code:4	0	5	0	9
chapter_reinforcement-learning/value-iter.md	6	repeated-1	6	0	conceptual:2,extended:1,short-code:3	0	5	0	11
chapter_deep-reinforcement-learning/actor-critic.md	6	repeated-1	6	0	conceptual:2,extended:1,short-code:3	0	0	4	14
chapter_deep-reinforcement-learning/dqn.md	7	repeated-1	7	0	conceptual:2,extended:1,short-code:4	0	0	11	7
chapter_deep-reinforcement-learning/offline-rl.md	6	repeated-1	6	0	conceptual:2,short-code:4	0	0	0	2
chapter_deep-reinforcement-learning/ppo.md	7	repeated-1	7	0	conceptual:3,extended:1,short-code:3	0	0	3	7
chapter_deep-reinforcement-learning/regularized.md	6	repeated-1	6	0	conceptual:3,extended:1,short-code:2	0	2	3	2
chapter_deep-reinforcement-learning/rl-sequences.md	5	repeated-1	5	0	conceptual:3,short-code:2	0	0	3	12
chapter_deep-reinforcement-learning/sac.md	7	repeated-1	7	0	conceptual:1,extended:1,short-code:5	0	0	6	11
chapter_gaussian-processes/gp-inference.md	6	sequential	0	0	-	0	0	0	0
chapter_gaussian-processes/gp-intro.md	7	sequential	0	0	-	0	2	0	0
chapter_gaussian-processes/gp-priors.md	5	sequential	0	0	-	0	0	0	0
chapter_hyperparameter-optimization/hyperopt-api.md	2	sequential	0	0	-	5	0	0	2
chapter_hyperparameter-optimization/hyperopt-intro.md	3	sequential	0	0	-	9	0	2	5
chapter_hyperparameter-optimization/rs-async.md	2	sequential	1	0	-	6	0	0	4
chapter_generative-adversarial-networks/adversarial-losses.md	5	sequential	0	0	-	0	3	1	3
chapter_generative-adversarial-networks/conditional.md	7	repeated-1	0	0	-	0	5	1	10
chapter_generative-adversarial-networks/convergence.md	5	repeated-1	0	0	-	0	4	0	4
chapter_generative-adversarial-networks/dcgan.md	6	repeated-1	0	0	-	0	0	1	13
chapter_generative-adversarial-networks/gan.md	5	repeated-1	0	0	-	0	1	0	1
chapter_generative-adversarial-networks/objectives.md	5	repeated-1	0	0	-	0	1	0	6
chapter_generative-adversarial-networks/relativistic.md	6	repeated-1	0	0	-	0	5	2	12
chapter_recommender-systems/autorec.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/ctr.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/deepfm.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/fm.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/mf.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/movielens.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/neumf.md	0	none	0	0	-	0	0	0	0
chapter_recommender-systems/ranking.md	3	sequential	0	0	-	0	0	0	0
chapter_recommender-systems/recsys-intro.md	3	sequential	0	0	-	0	0	0	0
chapter_recommender-systems/seqrec.md	0	none	0	0	-	0	0	1	0
chapter_mdl-linear-algebra/mdl-eigendecomposition.md	11	repeated-1	0	0	-	0	0	0	4
chapter_mdl-linear-algebra/mdl-geometry-linear-algebraic-ops.md	14	sequential	0	0	-	0	0	0	2
chapter_mdl-linear-algebra/mdl-svd-low-rank.md	8	sequential	0	0	-	3	0	0	3
chapter_mdl-calculus/mdl-integral-calculus.md	10	sequential	0	0	-	0	1	0	4
chapter_mdl-calculus/mdl-matrix-calculus-autodiff.md	9	sequential	0	3	-	0	0	0	7
chapter_mdl-calculus/mdl-multivariable-calculus.md	8	sequential	0	0	-	0	0	0	2
chapter_mdl-calculus/mdl-single-variable-calculus.md	10	sequential	0	0	-	0	1	0	2
chapter_mdl-optimization/mdl-adaptive-stochastic-methods.md	8	sequential	0	8	-	0	4	0	7
chapter_mdl-optimization/mdl-constrained-optimization-duality.md	8	sequential	0	0	-	0	0	0	3
chapter_mdl-optimization/mdl-convexity.md	9	sequential	0	2	-	0	7	0	4
chapter_mdl-optimization/mdl-gradient-based-optimization.md	11	sequential	1	2	-	0	0	0	13
chapter_mdl-optimization/mdl-numerical-stability-conditioning.md	8	sequential	0	0	-	0	0	1	8
chapter_mdl-probability-statistics/mdl-bayesian-computation.md	5	sequential	0	0	-	0	0	0	0
chapter_mdl-probability-statistics/mdl-concentration-generalization.md	8	sequential	0	1	-	0	0	2	7
chapter_mdl-probability-statistics/mdl-distributions.md	10	sequential	0	0	-	0	0	0	8
chapter_mdl-probability-statistics/mdl-maximum-likelihood.md	10	sequential	0	0	-	0	0	0	6
chapter_mdl-probability-statistics/mdl-naive-bayes.md	6	sequential	0	0	-	0	0	1	2
chapter_mdl-probability-statistics/mdl-random-variables.md	7	sequential	0	0	-	0	2	0	5
chapter_mdl-probability-statistics/mdl-statistics.md	14	mixed	0	0	-	0	0	0	3
chapter_mdl-information-theory/mdl-divergences-distances.md	9	sequential	0	0	-	0	0	0	5
chapter_mdl-information-theory/mdl-information-theory.md	9	repeated-1	0	0	-	0	0	1	1
chapter_mdl-information-theory/mdl-mutual-information.md	10	repeated-1	0	0	-	0	0	0	6
chapter_mdl-dynamics/mdl-fokker-planck-probability-flow.md	8	sequential	0	8	-	0	2	0	8
chapter_mdl-dynamics/mdl-odes-solvers.md	8	sequential	0	0	-	0	0	0	8
chapter_mdl-dynamics/mdl-score-matching-diffusion-flow.md	11	mixed	3	0	-	0	2	2	7
chapter_mdl-dynamics/mdl-sdes.md	8	sequential	0	8	-	0	4	0	7
chapter_appendix-tools-for-deep-learning/cloud-instances.md	4	repeated-1	0	0	-	0	2	0	2
chapter_appendix-tools-for-deep-learning/developers-guide.md	4	repeated-1	0	0	-	0	0	0	0
chapter_appendix-tools-for-deep-learning/hardware.md	4	repeated-1	0	0	-	0	0	0	2
chapter_appendix-tools-for-deep-learning/hosted-notebooks.md	4	repeated-1	0	0	-	0	0	0	1
chapter_appendix-tools-for-deep-learning/interactive-development.md	4	repeated-1	0	0	-	0	0	0	1
chapter_appendix-tools-for-deep-learning/model-serving.md	4	repeated-1	0	0	-	0	0	0	0
chapter_appendix-tools-for-deep-learning/software-ecosystem.md	4	repeated-1	0	0	-	0	0	0	0
chapter_appendix-tools-for-deep-learning/training-systems.md	4	repeated-1	0	0	-	0	0	0	1
